VARIABLES = "X", "Y", "Speed", "P", "M","H", "S", "Xvel", "Yvel","F0", "G0", "rho", "RES0", "RES1", "RES2", "RES3" 
ZONE T = "CELL CENTERS AT TIMESTEP 0 ", I = 128 , J = 64, F=POINT 

4.3739 -0.283438 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -16.9061 -9479.57 372.139 -5.23223e+006
4.59882 -0.300173 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -16.8614 -9454.51 371.02 -5.2184e+006
4.83717 -0.317892 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -16.9032 -9477.95 371.431 -5.23134e+006
5.0897 -0.336658 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -16.864 -9455.99 370.692 -5.21922e+006
5.3573 -0.356533 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -16.878 -9463.81 370.581 -5.22353e+006
5.64098 -0.377585 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -16.8672 -9457.74 369.989 -5.22018e+006
5.94165 -0.399892 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -16.8317 -9437.84 369.418 -5.2092e+006
6.26042 -0.423535 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -16.8667 -9457.46 369.75 -5.22003e+006
6.59852 -0.448603 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -16.8355 -9439.98 369.152 -5.21038e+006
6.95717 -0.47519 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -16.8274 -9435.45 368.927 -5.20788e+006
7.33775 -0.503398 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -16.8756 -9462.49 369.805 -5.2228e+006
7.7418 -0.53334 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -16.838 -9441.38 368.956 -5.21115e+006
8.171 -0.565145 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -16.8398 -9442.42 369.073 -5.21173e+006
8.62725 -0.598955 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -16.8424 -9443.83 369.108 -5.21251e+006
9.1128 -0.634935 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -16.8521 -9449.3 369.37 -5.21552e+006
9.63042 -0.673285 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -16.8583 -9452.76 369.5 -5.21744e+006
10.1838 -0.714252 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 663.234 780896 55664.7 5.89666e+008
0.996465 -0.00215532 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -266.166 -163552 38725.1 -8.23752e+007
0.998032 -0.0054699 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 39.6551 22235.4 -6422.06 1.22728e+007
1.00134 -0.00898103 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -6.43958 -3610.8 4683.32 -1.99297e+006
1.00645 -0.0126169 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -20.7316 -11624.6 5206.17 -6.41617e+006
1.0134 -0.016338 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -27.609 -15480.9 4542.17 -8.54467e+006
1.02217 -0.020131 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -30.0953 -16875 3916.63 -9.31415e+006
1.03278 -0.0239958 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -26.6494 -14942.8 2917.28 -8.24766e+006
1.04525 -0.027939 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -29.2402 -16395.5 2722.16 -9.04948e+006
1.0596 -0.0319713 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -26.1063 -14638.3 2170.76 -8.0796e+006
1.07587 -0.0361043 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -25.6888 -14404.2 1922.16 -7.95037e+006
1.09413 -0.0403512 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -24.7342 -13868.9 1691.93 -7.65493e+006
1.11437 -0.0447268 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -23.669 -13271.7 1507.3 -7.32528e+006
1.13667 -0.0492448 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -22.7847 -12775.8 1359.47 -7.05157e+006
1.16113 -0.0539198 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -22.1223 -12404.4 1243.36 -6.84659e+006
1.18775 -0.0587678 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -21.7235 -12180.8 1166.29 -6.72317e+006
1.21663 -0.063805 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -20.7363 -11627.2 1066.46 -6.41762e+006
1.2479 -0.0690475 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -20.5263 -11509.5 1012.92 -6.35265e+006
1.28165 -0.074512 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -20.0644 -11250.5 957.393 -6.20969e+006
1.31798 -0.0802168 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -19.5375 -10955 903.57 -6.04662e+006
1.35695 -0.0861808 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -19.2824 -10812 871.44 -5.96768e+006
