VARIABLES = "X", "Y", "Speed", "P", "M","H", "S", "Xvel", "Yvel","F0", "G0", "rho", "RES0", "RES1", "RES2", "RES3" 
ZONE T = "CELL CENTERS AT TIMESTEP 0 ", I = 129 , J = 64, F=POINT 

0.36622 0.072309 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 363.543 200727 -96498.7 1.14157e+08
0.390122 0.0717485 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 363.714 200025 -97533.7 1.14211e+08
0.414288 0.0709645 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 363.848 199362 -98603.5 1.14253e+08
0.438657 0.0699683 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 363.932 198719 -99536.5 1.14279e+08
0.463172 0.068772 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 363.98 198116 -100486 1.14294e+08
0.48777 0.0673887 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 363.994 197531 -101351 1.14299e+08
0.51239 0.0658317 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 363.977 196984 -102285 1.14293e+08
0.53698 0.064114 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 363.935 196453 -103077 1.1428e+08
0.561478 0.0622495 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 363.869 195951 -103879 1.14259e+08
0.585823 0.0602517 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 363.775 195460 -104696 1.1423e+08
0.609955 0.058134 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 363.663 194988 -105462 1.14195e+08
0.633815 0.05591 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 363.529 194537 -106219 1.14153e+08
0.65735 0.0535925 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 363.362 194078 -107046 1.141e+08
0.680505 0.0511942 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 363.198 193650 -107726 1.14049e+08
0.703222 0.0487283 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 362.999 193216 -108486 1.13986e+08
0.725445 0.0462073 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 362.773 192782 -109261 1.13915e+08
0.74712 0.043643 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 362.51 192334 -110094 1.13833e+08
0.768195 0.041048 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 362.258 191912 -110792 1.13754e+08
